STATE_NAME,RECFIN_YEAR,RECFIN_PORT_NAME,RECFIN_TRIP_TYPE_NAME,AGENCY_WATER_AREA_NAME,AGENCY_FISHED_AREA_NAME,RECFIN_MODE_NAME,FISHERY_MANAGEMENT_PLAN,STOCK_COMPLEX_NAME,SPECIES_GROUP_NAME,SPECIES_NAME,SCIENTIFIC_NAME,AGENCY_LENGTH,AGENCY_LENGTH_UNITS,IS_AGENCY_LENGTH_WITHIN_MAX,AGENCY_WEIGHT,AGENCY_WEIGHT_UNITS,RECFIN_LENGTH_MM,RECFIN_IMPUTED_LENGTH,RECFIN_LENGTH_TYPE,RECFIN_IMPUTED_WEIGHT_KG,RECFIN_SEX_CODE,RECFIN_SEX_NAME,IS_RETAINED,CAUGHT_BY_OBSERVED_ANGLER,SOURCE_CODE
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,270,,T,,,270,,,0.3847,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,288,,T,,,288,,,0.4677,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,295,,T,,,295,,,0.5029,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,255,,T,,,255,,,0.3237,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,268,,T,,,268,,,0.3762,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,275,,T,,,275,,,0.4067,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,277,,T,,,277,,,0.4157,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,260,,T,,,260,,,0.3432,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,260,,T,,,260,,,0.3432,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,267,,T,,,267,,,0.372,,,RETAINED,,BIO
