Sample_ID,Year_Month_Code,Project_ID,CDFW_Vessel_Number,PacFIN_Species_Code,Sample_Number,Port,Capture_Date,Vessel,Fork_Length_mm,Sex,Maturity,Otoliths_Retained,Fin_Clip_Retained,Comments
202306-1012-71246-BLCK-1,202306,1012,71246,BLCK,1,Eureka,,Scrimshaw,382,F,1,Yes,No,
202306-1012-71246-BLCK-2,202306,1012,71246,BLCK,2,Eureka,6/20/2023,Scrimshaw,457,M,1,Yes,No,
202306-1012-71246-BLCK-3,202306,1012,71246,BLCK,3,Eureka,6/20/2023,Scrimshaw,463,F,1,Yes,No,
202306-1012-71246-BLCK-4,202306,1012,71246,BLCK,4,Eureka,6/20/2023,Scrimshaw,455,F,1,Yes,No,Gut perforated
202306-1012-71246-BLCK-5,202306,1012,71246,BLCK,5,Eureka,6/20/2023,Scrimshaw,407,F,0,Yes,No,
202306-1012-71246-BLCK-6,202306,1012,71246,BLCK,6,Eureka,6/20/2023,Scrimshaw,478,F,0,Yes,No,
202306-1012-71246-BLCK-7,202306,1012,71246,BLCK,7,Eureka,6/20/2023,Scrimshaw,422,M,1,Yes,No,
202306-1012-71246-BLCK-8,202306,1012,71246,BLCK,8,Eureka,6/20/2023,Scrimshaw,418,F,0,Yes,No,
202306-1012-71246-BLCK-9,202306,1012,71246,BLCK,9,Eureka,6/20/2023,Scrimshaw,402,M,1,Yes,No,
202306-1012-71246-BLCK-10,202306,1012,71246,BLCK,10,Eureka,6/20/2023,Scrimshaw,444,M,1,Yes,No,
202306-1012-71246-BLCK-11,202306,1012,71246,BLCK,11,Eureka,6/20/2023,Scrimshaw,452,M,1,Yes,No,
202306-1012-71246-BLCK-12,202306,1012,71246,BLCK,12,Eureka,6/20/2023,Scrimshaw,530,F,1,Yes,No,
202306-1012-71246-BLCK-13,202306,1012,71246,BLCK,13,Eureka,6/20/2023,Scrimshaw,417,M,1,Yes,No,
202306-1012-71246-BLCK-14,202306,1012,71246,BLCK,14,Eureka,6/20/2023,Scrimshaw,515,F,1,Yes,No,
202306-1012-71246-BLCK-15,202306,1012,71246,BLCK,15,Eureka,6/20/2023,Scrimshaw,523,F,1,Yes,No,
202306-1012-71246-BLCK-16,202306,1012,71246,BLCK,16,Eureka,6/20/2023,Scrimshaw,429,M,1,Yes,No,
202306-1012-71246-BLCK-17,202306,1012,71246,BLCK,17,Eureka,6/20/2023,Scrimshaw,434,F,1,Yes,No,
202306-1012-71246-BLCK-18,202306,1012,71246,BLCK,18,Eureka,6/20/2023,Scrimshaw,463,F,1,Yes,No,
202306-1012-71246-BLCK-19,202306,1012,71246,BLCK,19,Eureka,6/20/2023,Scrimshaw,460,M,1,Yes,No,
202306-1012-71246-BLCK-20,202306,1012,71246,BLCK,20,Eureka,6/20/2023,Scrimshaw,445,M,1,Yes,No,
202306-1012-71246-BLCK-21,202306,1012,71246,BLCK,21,Eureka,6/20/2023,Scrimshaw,446,F,1,Yes,No,
202306-1012-71246-BLCK-22,202306,1012,71246,BLCK,22,Eureka,6/20/2023,Scrimshaw,369,M,1,Yes,No,
202306-1012-71246-BLCK-23,202306,1012,71246,BLCK,23,Eureka,6/20/2023,Scrimshaw,464,M,1,Yes,No,
202306-1012-71246-BLCK-24,202306,1012,71246,BLCK,24,Eureka,6/20/2023,Scrimshaw,417,M,1,Yes,No,
202306-1012-71246-BLCK-25,202306,1012,71246,BLCK,25,Eureka,6/20/2023,Scrimshaw,410,F,0,Yes,No,
202306-1012-71226-BLCK-26,202306,1012,71226,BLCK,26,Eureka,6/19/2023,New Reel Steel,370,M,1,Yes,No,
202306-1012-71226-BLCK-27,202306,1012,71226,BLCK,27,Eureka,6/19/2023,New Reel Steel,547,F,1,Yes,No,
202306-1012-71226-BLCK-28,202306,1012,71226,BLCK,28,Eureka,6/19/2023,New Reel Steel,462,M,1,Yes,No,
202306-1012-71226-BLCK-29,202306,1012,71226,BLCK,29,Eureka,6/19/2023,New Reel Steel,409,F,1,Yes,No,
202306-1012-71226-BLCK-30,202306,1012,71226,BLCK,30,Eureka,6/19/2023,New Reel Steel,435,F,1,Yes,No,
202306-1012-71226-BLCK-31,202306,1012,71226,BLCK,31,Eureka,6/19/2023,New Reel Steel,460,M,1,Yes,No,
202306-1012-71226-BLCK-32,202306,1012,71226,BLCK,32,Eureka,6/19/2023,New Reel Steel,510,F,1,Yes,No,
202306-1012-71226-BLCK-33,202306,1012,71226,BLCK,33,Eureka,6/19/2023,New Reel Steel,466,M,1,Yes,No,
202306-1012-71226-BLCK-34,202306,1012,71226,BLCK,34,Eureka,6/19/2023,New Reel Steel,455,M,1,Yes,No,Gut perforated
202306-1012-71226-BLCK-35,202306,1012,71226,BLCK,35,Eureka,6/19/2023,New Reel Steel,460,F,1,Yes,No,Gut perforated
202306-1012-71226-BLCK-36,202306,1012,71226,BLCK,36,Eureka,6/19/2023,New Reel Steel,490,F,1,Yes,No,
202306-1012-71226-BLCK-37,202306,1012,71226,BLCK,37,Eureka,6/19/2023,New Reel Steel,450,M,1,Yes,No,
202306-1012-71226-BLCK-38,202306,1012,71226,BLCK,38,Eureka,6/19/2023,New Reel Steel,480,F,1,Yes,No,
202306-1012-71226-BLCK-39,202306,1012,71226,BLCK,39,Eureka,6/19/2023,New Reel Steel,479,M,1,Yes,No,Gut perforated
202306-1012-71226-BLCK-40,202306,1012,71226,BLCK,40,Eureka,6/19/2023,New Reel Steel,425,F,1,Yes,No,
202306-1012-71226-BLCK-41,202306,1012,71226,BLCK,41,Eureka,6/19/2023,New Reel Steel,455,M,1,Yes,No,
202306-1012-71226-BLCK-42,202306,1012,71226,BLCK,42,Eureka,6/19/2023,New Reel Steel,460,M,1,Yes,No,
202306-1012-71226-BLCK-43,202306,1012,71226,BLCK,43,Eureka,6/19/2023,New Reel Steel,405,M,1,Yes,No,
202306-1012-71226-BLCK-44,202306,1012,71226,BLCK,44,Eureka,6/19/2023,New Reel Steel,440,M,1,Yes,No,Gut perforated
202306-1012-71226-COPP-45,202306,1012,71226,COPP,45,Eureka,6/19/2023,New Reel Steel,380,F,1,Yes,No,"Species ID not visible on bonus tag, picture confirmed it is a Copper"
202306-1012-71226-BLCK-46,202306,1012,71226,BLCK,46,Eureka,6/19/2023,New Reel Steel,425,M,1,Yes,No,
202306-1012-71226-BLCK-47,202306,1012,71226,BLCK,47,Eureka,6/19/2023,New Reel Steel,440,M,1,Yes,No,
202306-1012-71226-BLCK-48,202306,1012,71226,BLCK,48,Eureka,6/19/2023,New Reel Steel,400,F,1,Yes,No,
202306-1012-71226-CNRY-49,202306,1012,71226,CNRY,49,Eureka,6/19/2023,New Reel Steel,345,F,0,Yes,No,
202306-1012-71226-BLCK-50,202306,1012,71226,BLCK,50,Eureka,6/19/2023,New Reel Steel,460,F,0,Yes,No,"Gut perforated, one otolith broken"
202307-1012-71226-BLUR-51,202307,1012,71226,BLUR,51,Eureka,7/5/2023,New Reel Steel,332,F,1,Yes,No,Gut perforated
202307-1012-71226-BLUR-52,202307,1012,71226,BLUR,52,Eureka,7/5/2023,New Reel Steel,325,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-53,202307,1012,71226,CNRY,53,Eureka,7/5/2023,New Reel Steel,427,F,1,Yes,No,Gut perforated
202307-1012-71226-BLCK-54,202307,1012,71226,BLCK,54,Eureka,7/5/2023,New Reel Steel,550,F,1,Yes,No,Gut perforated
202307-1012-71226-BLUR-55,202307,1012,71226,BLUR,55,Eureka,7/5/2023,New Reel Steel,405,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-56,202307,1012,71226,YTRK,56,Eureka,7/5/2023,New Reel Steel,440,F,1,Yes,No,"Gut perforated, one otolith broken"
202307-1012-71226-QLBK-57,202307,1012,71226,QLBK,57,Eureka,7/5/2023,New Reel Steel,427,M,1,Yes,No,Gut perforated
202307-1012-71226-BLUR-58,202307,1012,71226,BLUR,58,Eureka,7/5/2023,New Reel Steel,318,F,1,Yes,No,Gut perforated
202307-1012-71226-BLCK-59,202307,1012,71226,BLCK,59,Eureka,7/5/2023,New Reel Steel,425,F,1,Yes,No,
202307-1012-71226-CNRY-60,202307,1012,71226,CNRY,60,Eureka,7/5/2023,New Reel Steel,345,U,0,Yes,No,Gut perforated
202307-1012-71226-CNRY-61,202307,1012,71226,CNRY,61,Eureka,7/5/2023,New Reel Steel,376,M,1,Yes,No,Gut perforated
202307-1012-71226-BLUR-62,202307,1012,71226,BLUR,62,Eureka,7/5/2023,New Reel Steel,330,F,1,Yes,No,
202307-1012-71226-CNRY-63,202307,1012,71226,CNRY,63,Eureka,7/5/2023,New Reel Steel,345,U,0,Yes,No,Gut perforated
202307-1012-71226-CNRY-64,202307,1012,71226,CNRY,64,Eureka,7/5/2023,New Reel Steel,385,M,1,Yes,No,Gut perforated
202307-1012-71226-BLUR-65,202307,1012,71226,BLUR,65,Eureka,7/5/2023,New Reel Steel,310,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-66,202307,1012,71226,CNRY,66,Eureka,7/23/2023,New Reel Steel,413,F,1,Yes,No,
202307-1012-71226-CNRY-67,202307,1012,71226,CNRY,67,Eureka,7/23/2023,New Reel Steel,423,M,1,Yes,No,
202307-1012-71226-YTRK-68,202307,1012,71226,YTRK,68,Eureka,7/23/2023,New Reel Steel,430,M,1,Yes,No,
202307-1012-71226-CNRY-69,202307,1012,71226,CNRY,69,Eureka,7/23/2023,New Reel Steel,435,F,1,Yes,No,
202307-1012-71226-CNRY-70,202307,1012,71226,CNRY,70,Eureka,7/23/2023,New Reel Steel,426,F,1,Yes,No,
202307-1012-71226-CNRY-71,202307,1012,71226,CNRY,71,Eureka,7/23/2023,New Reel Steel,478,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-72,202307,1012,71226,YTRK,72,Eureka,7/23/2023,New Reel Steel,464,F,1,Yes,No,
202307-1012-71226-YTRK-73,202307,1012,71226,YTRK,73,Eureka,7/23/2023,New Reel Steel,503,F,1,Yes,No,
202307-1012-71226-YTRK-74,202307,1012,71226,YTRK,74,Eureka,7/23/2023,New Reel Steel,475,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-75,202307,1012,71226,CNRY,75,Eureka,7/23/2023,New Reel Steel,424,M,1,Yes,No,
202307-1012-71226-CNRY-76,202307,1012,71226,CNRY,76,Eureka,7/23/2023,New Reel Steel,466,M,1,Yes,No,"Gut perforated, left otolith broke"
202307-1012-71226-CNRY-77,202307,1012,71226,CNRY,77,Eureka,7/23/2023,New Reel Steel,469,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-78,202307,1012,71226,CNRY,78,Eureka,7/23/2023,New Reel Steel,434,M,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-79,202307,1012,71226,CNRY,79,Eureka,7/23/2023,New Reel Steel,413,M,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-80,202307,1012,71226,CNRY,80,Eureka,7/23/2023,New Reel Steel,383,F,1,Yes,No,
202307-1012-71226-CNRY-81,202307,1012,71226,CNRY,81,Eureka,7/23/2023,New Reel Steel,480,F,1,Yes,No,
202307-1012-71226-YTRK-82,202307,1012,71226,YTRK,82,Eureka,7/23/2023,New Reel Steel,393,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-83,202307,1012,71226,YTRK,83,Eureka,7/23/2023,New Reel Steel,390,M,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-84,202307,1012,71226,YTRK,84,Eureka,7/23/2023,New Reel Steel,475,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-85,202307,1012,71226,YTRK,85,Eureka,7/23/2023,New Reel Steel,442,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-86,202307,1012,71226,CNRY,86,Eureka,7/23/2023,New Reel Steel,419,M,1,Yes,No,
202307-1012-71226-YTRK-87,202307,1012,71226,YTRK,87,Eureka,7/23/2023,New Reel Steel,425,M,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-88,202307,1012,71226,YTRK,88,Eureka,7/23/2023,New Reel Steel,436,M,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-89,202307,1012,71226,YTRK,89,Eureka,7/23/2023,New Reel Steel,418,M,1,Yes,No,Gut perforated
202307-1012-71246-CNRY-90,202307,1012,71246,CNRY,90,Eureka,7/25/2023,Scrimshaw,451,F,1,Yes,No,
202307-1012-71246-CNRY-91,202307,1012,71246,CNRY,91,Eureka,7/25/2023,Scrimshaw,412,F,1,Yes,No,Gut perforated
202307-1012-71246-CNRY-92,202307,1012,71246,CNRY,92,Eureka,7/25/2023,Scrimshaw,450,F,1,Yes,No,
202307-1012-71246-CNRY-93,202307,1012,71246,CNRY,93,Eureka,7/25/2023,Scrimshaw,419,M,1,Yes,No,
202307-1012-71246-VRML-94,202307,1012,71246,VRML,94,Eureka,7/25/2023,Scrimshaw,506,F,1,Yes,No,Spent
202307-1012-71246-CNRY-95,202307,1012,71246,CNRY,95,Eureka,7/25/2023,Scrimshaw,337,M,1,Yes,No,
202307-1012-71246-CNRY-96,202307,1012,71246,CNRY,96,Eureka,7/25/2023,Scrimshaw,415,F,1,Yes,No,
202307-1012-71246-VRML-98,202307,1012,71246,VRML,98,Eureka,7/25/2023,Scrimshaw,543,M,1,Yes,No,
202307-1012-71246-DEAC-99,202307,1012,71246,DEAC,99,Eureka,7/25/2023,Scrimshaw,425,F,1,Yes,No,Species ID Deacon rockfish? See pictures. Secondary brood
202307-1012-71226-CNRY-97,202307,1012,71226,CNRY,97,Eureka,7/25/2023,New Reel Steel,469,F,1,Yes,No,"Gut perforated, very fecund"
202307-1012-71226-CNRY-100,202307,1012,71226,CNRY,100,Eureka,7/25/2023,New Reel Steel,488,F,1,Yes,No,
202307-1012-71226-YTRK-101,202307,1012,71226,YTRK,101,Eureka,7/25/2023,New Reel Steel,485,F,1,Yes,No,
202307-1012-71226-YTRK-102,202307,1012,71226,YTRK,102,Eureka,7/25/2023,New Reel Steel,446,M,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-103,202307,1012,71226,YTRK,103,Eureka,7/25/2023,New Reel Steel,416,M,1,Yes,No,
202307-1012-71226-YTRK-104,202307,1012,71226,YTRK,104,Eureka,7/25/2023,New Reel Steel,510,M,1,Yes,No,
202307-1012-71226-YTRK-105,202307,1012,71226,YTRK,105,Eureka,7/25/2023,New Reel Steel,472,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-106,202307,1012,71226,YTRK,106,Eureka,7/25/2023,New Reel Steel,413,M,1,Yes,No,
202307-1012-71226-CNRY-107,202307,1012,71226,CNRY,107,Eureka,7/25/2023,New Reel Steel,446,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-108,202307,1012,71226,YTRK,108,Eureka,7/25/2023,New Reel Steel,461,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-109,202307,1012,71226,YTRK,109,Eureka,7/25/2023,New Reel Steel,407,F,1,Yes,No,
202307-1012-71226-CNRY-110,202307,1012,71226,CNRY,110,Eureka,7/25/2023,New Reel Steel,440,M,1,Yes,No,
202307-1012-71226-CNRY-111,202307,1012,71226,CNRY,111,Eureka,7/25/2023,New Reel Steel,464,F,1,Yes,No,"Gut perforated, spent"
202307-1012-71226-CNRY-112,202307,1012,71226,CNRY,112,Eureka,7/25/2023,New Reel Steel,448,F,1,Yes,No,
202307-1012-71226-CNRY-113,202307,1012,71226,CNRY,113,Eureka,7/25/2023,New Reel Steel,511,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-114,202307,1012,71226,CNRY,114,Eureka,7/25/2023,New Reel Steel,466,F,1,Yes,No,"Gut perforated, very fecund"
202307-1012-71226-CNRY-115,202307,1012,71226,CNRY,115,Eureka,7/25/2023,New Reel Steel,423,F,1,Yes,No,Spent
202307-1012-71226-YTRK-116,202307,1012,71226,YTRK,116,Eureka,7/25/2023,New Reel Steel,455,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-117,202307,1012,71226,CNRY,117,Eureka,7/25/2023,New Reel Steel,378,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-118,202307,1012,71226,CNRY,118,Eureka,7/25/2023,New Reel Steel,450,F,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-119,202307,1012,71226,YTRK,119,Eureka,7/25/2023,New Reel Steel,399,M,1,Yes,No,
202307-1012-71226-CNRY-120,202307,1012,71226,CNRY,120,Eureka,7/25/2023,New Reel Steel,480,F,1,Yes,No,
202307-1012-71226-CNRY-121,202307,1012,71226,CNRY,121,Eureka,7/25/2023,New Reel Steel,537,F,1,Yes,No,
202307-1012-71226-CNRY-122,202307,1012,71226,CNRY,122,Eureka,7/25/2023,New Reel Steel,453,M,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-123,202307,1012,71226,CNRY,123,Eureka,7/25/2023,New Reel Steel,483,F,1,Yes,No,
202307-1012-71226-YTRK-124,202307,1012,71226,YTRK,124,Eureka,7/25/2023,New Reel Steel,435,F,1,Yes,No,
202307-1012-71226-CNRY-125,202307,1012,71226,CNRY,125,Eureka,7/25/2023,New Reel Steel,435,F,1,Yes,No,
202307-1012-71226-CNRY-126,202307,1012,71226,CNRY,126,Eureka,7/25/2023,New Reel Steel,370,M,1,Yes,No,
202307-1012-71226-CNRY-127,202307,1012,71226,CNRY,127,Eureka,7/25/2023,New Reel Steel,405,F,1,Yes,No,Spent
202307-1012-71226-CNRY-128,202307,1012,71226,CNRY,128,Eureka,7/25/2023,New Reel Steel,497,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-129,202307,1012,71226,CNRY,129,Eureka,7/25/2023,New Reel Steel,483,F,1,Yes,No,Gut perforated
202307-1012-71226-CNRY-130,202307,1012,71226,CNRY,130,Eureka,7/25/2023,New Reel Steel,406,M,1,Yes,No,
202307-1012-71226-CNRY-131,202307,1012,71226,CNRY,131,Eureka,7/25/2023,New Reel Steel,488,F,1,Yes,No,
202307-1012-71226-YTRK-132,202307,1012,71226,YTRK,132,Eureka,7/25/2023,New Reel Steel,420,M,1,Yes,No,Gut perforated
202307-1012-71226-YTRK-133,202307,1012,71226,YTRK,133,Eureka,7/25/2023,New Reel Steel,425,F,1,Yes,No,Spent
202307-1012-71226-YTRK-134,202307,1012,71226,YTRK,134,Eureka,7/25/2023,New Reel Steel,448,M,1,Yes,No,"Gut perforated, one otolith snapped"
202307-1012-30068-BRWN-1,202307,1012,30068,BRWN,1,Bodega Bay,7/26/2023,New Sea Angler,384,F,1,Yes,Yes,Stage 5
202307-1012-30068-CNRY-2,202307,1012,30068,CNRY,2,Bodega Bay,7/26/2023,New Sea Angler,285,F,0,Yes,Yes,
202307-1012-30068-BRWN-3,202307,1012,30068,BRWN,3,Bodega Bay,7/26/2023,New Sea Angler,380,F,1,Yes,Yes,stage 5 
202307-1012-30068-CNRY-4,202307,1012,30068,CNRY,4,Bodega Bay,7/26/2023,New Sea Angler,335,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-5,202307,1012,30068,BRWN,5,Bodega Bay,7/26/2023,New Sea Angler,409,F,1,Yes,Yes,stage3 
202307-1012-30068-BRWN-6,202307,1012,30068,BRWN,6,Bodega Bay,7/26/2023,New Sea Angler,381,M,1,Yes,Yes,
202307-1012-30068-CNRY-7,202307,1012,30068,CNRY,7,Bodega Bay,7/26/2023,New Sea Angler,324,F,0,Yes,Yes,stage 1 
202307-1012-30068-BRWN-8,202307,1012,30068,BRWN,8,Bodega Bay,7/26/2023,New Sea Angler,354,F,1,Yes,Yes,stage 3
202307-1012-30068-BRWN-9,202307,1012,30068,BRWN,9,Bodega Bay,7/26/2023,New Sea Angler,400,F,1,Yes,Yes,stage 7 
202307-1012-30068-COPP-10,202307,1012,30068,COPP,10,Bodega Bay,7/26/2023,New Sea Angler,361,M,0,Yes,Yes,
202307-1012-30068-VRML-11,202307,1012,30068,VRML,11,Bodega Bay,7/26/2023,New Sea Angler,386,F,1,Yes,Yes,stage 2 
202307-1012-30068-BRWN-12,202307,1012,30068,BRWN,12,Bodega Bay,7/26/2023,New Sea Angler,345,M,1,Yes,Yes,
202307-1012-30068-BRWN-13,202307,1012,30068,BRWN,13,Bodega Bay,7/26/2023,New Sea Angler,351,M,1,Yes,Yes,
202307-1012-30068-VRML-14,202307,1012,30068,VRML,14,Bodega Bay,7/26/2023,New Sea Angler,456,F,1,Yes,Yes,stage 5 
202307-1012-30068-BRWN-15,202307,1012,30068,BRWN,15,Bodega Bay,7/26/2023,New Sea Angler,376,F,1,Yes,Yes,stage 3 
202307-1012-30068-BRWN-16,202307,1012,30068,BRWN,16,Bodega Bay,7/26/2023,New Sea Angler,365,M,1,Yes,Yes,
202307-1012-30068-BRWN-17,202307,1012,30068,BRWN,17,Bodega Bay,7/26/2023,New Sea Angler,410,F,1,Yes,Yes,stage 3
202307-1012-30068-CNRY-18,202307,1012,30068,CNRY,18,Bodega Bay,7/26/2023,New Sea Angler,323,F,1,Yes,Yes,stage 7 
202307-1012-30068-COPP-19,202307,1012,30068,COPP,19,Bodega Bay,7/26/2023,New Sea Angler,360,M,0,Yes,Yes,
202307-1012-30068-BRWN-20,202307,1012,30068,BRWN,20,Bodega Bay,7/26/2023,New Sea Angler,400,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-21,202307,1012,30068,BRWN,21,Bodega Bay,7/26/2023,New Sea Angler,350,F,1,Yes,Yes,stage 5 
202307-1012-30068-BRWN-22,202307,1012,30068,BRWN,22,Bodega Bay,7/26/2023,New Sea Angler,355,M,0,Yes,Yes,
202307-1012-30068-BRWN-23,202307,1012,30068,BRWN,23,Bodega Bay,7/26/2023,New Sea Angler,389,F,1,Yes,Yes,stage 2 
202307-1012-30068-BRWN-24,202307,1012,30068,BRWN,24,Bodega Bay,7/26/2023,New Sea Angler,385,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-25,202307,1012,30068,BRWN,25,Bodega Bay,7/26/2023,New Sea Angler,341,M,1,Yes,Yes,
202307-1012-30068-BRWN-26,202307,1012,30068,BRWN,26,Bodega Bay,7/26/2023,New Sea Angler,378,F,1,Yes,Yes,stage 2 
202307-1012-30068-BRWN-27,202307,1012,30068,BRWN,27,Bodega Bay,7/26/2023,New Sea Angler,351,M,1,Yes,Yes,
202307-1012-30068-BRWN-28,202307,1012,30068,BRWN,28,Bodega Bay,7/26/2023,New Sea Angler,354,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-29,202307,1012,30068,BRWN,29,Bodega Bay,7/26/2023,New Sea Angler,403,F,1,Yes,Yes,stage 2
202307-1012-30068-BRWN-30,202307,1012,30068,BRWN,30,Bodega Bay,7/26/2023,New Sea Angler,400,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-31,202307,1012,30068,BRWN,31,Bodega Bay,7/26/2023,New Sea Angler,326,F,1,Yes,Yes,stage 2 
